class_name,num
Archery,4
Arm wrestling,5
Assembling bicycle,12
BMX,2
Baking cookies,2
Ballet,1
Bathing dog,5
Baton twirling,1
Beach soccer,4
Beer pong,6
Belly dance,1
Blow-drying hair,2
Braiding hair,1
Breakdancing,6
Brushing hair,3
Brushing teeth,6
Building sandcastles,3
Bullfighting,2
Bungee jumping,10
Calf roping,2
Camel ride,3
Canoeing,3
Capoeira,1
Carving jack-o-lanterns,2
Cheerleading,0
Chopping wood,4
Clean and jerk,2
Cleaning shoes,5
Cleaning sink,8
Cleaning windows,11
Cricket,1
Croquet,8
Cutting the grass,6
Decorating the Christmas tree,2
Disc dog,15
Discus throw,2
Dodgeball,7
Doing crunches,2
Doing fencing,8
Doing karate,7
Doing kickboxing,4
Doing motocross,4
Doing nails,4
Doing step aerobics,5
Drinking coffee,4
Drum corps,3
Elliptical trainer,3
Fixing bicycle,6
Fixing the roof,11
Fun sliding down,6
Futsal,8
Getting a haircut,2
Getting a piercing,7
Getting a tattoo,8
Grooming dog,8
Grooming horse,3
Hammer throw,1
Hand car wash,5
Hand washing clothes,7
Hanging wallpaper,2
Having an ice cream,2
High jump,5
Hitting a pinata,2
Hopscotch,3
Horseback riding,4
Hula hoop,2
Hurling,14
Ice fishing,2
Ironing clothes,2
Javelin throw,2
Kayaking,6
Kite flying,4
Kneeling,2
Knitting,0
Laying tile,1
Long jump,2
Longboarding,0
Making a cake,4
Making a lemonade,4
Making a sandwich,1
Making an omelette,2
Mixing drinks,2
Mooping floor,0
Mowing the lawn,3
Paintball,5
Painting,2
Painting fence,5
Painting furniture,4
Ping-pong,0
Plastering,1
Plataform diving,15
Playing accordion,4
Playing badminton,4
Playing bagpipes,4
Playing beach volleyball,7
Playing blackjack,6
Playing congas,2
Playing drums,4
Playing field hockey,8
Playing flauta,3
Playing guitarra,2
Playing harmonica,3
Playing ice hockey,15
Playing kickball,11
Playing lacrosse,7
Playing piano,4
Playing polo,17
Playing pool,10
Playing racquetball,10
Playing rubik cube,3
Playing saxophone,2
Playing squash,10
Playing violin,5
Playing water polo,10
Pole vault,5
Polishing forniture,1
Polishing shoes,4
Powerbocking,2
Preparing pasta,3
Preparing salad,0
Putting in contact lenses,8
Putting on makeup,2
Putting on shoes,5
Rafting,2
Raking leaves,1
Riding bumper cars,0
Rock climbing,7
Rock-paper-scissors,18
Rollerblading,4
Rope skipping,3
Running a marathon,6
Sailing,4
Scuba diving,15
Sharpening knives,8
Shaving,15
Shot put,14
Shoveling snow,4
Shuffleboard,6
Skateboarding,7
Skiing,4
Slacklining,7
Smoking a cigarette,12
Smoking hookah,9
Snatch,0
Snow tubing,8
Snowboarding,6
Spinning,9
Spread mulch,6
Springboard diving,15
Starting a campfire,6
Sumo,8
Surfing,4
Swimming,10
Swinging at the playground,3
Table soccer,4
Tai chi,9
Tango,3
Throwing darts,11
Trimming branches or hedges,9
Triple jump,5
Tug of war,5
Tumbling,4
Using parallel bars,13
Using the balance beam,18
Using the monkey bar,8
Using the pommel horse,2
Using the rowing machine,6
Using uneven bars,6
Vacuuming floor,5
Volleyball,3
Wakeboarding,1
Walking the dog,9
Washing dishes,3
Washing hands,1
Waterskiing,2
Waxing skis,2
Welding,1
Windsurfing,2
Wrapping presents,1
Zumba,2
